fecha	inflaciÃ³n	salario minimo	pib	fbkf	desempleo
1/1/2002	1.80	160.47	3354522.00	710795.67	9.20
1/2/2002	1.07	162.18	3361771.52	709123.72	9.37
1/3/2002	1.13	164.00	3369036.70	707455.70	9.55
1/4/2002	1.49	166.45	3376317.59	705791.61	9.73
1/5/2002	0.49	167.27	3383614.21	704131.43	9.91
1/6/2002	0.39	167.90	3390926.60	702475.15	10.10
1/7/2002	-0.07	167.79	3398254.79	700822.77	10.29
1/8/2002	0.44	168.53	3405598.82	699174.28	10.48
1/9/2002	0.58	169.50	3412958.72	697529.67	10.68
1/10/2002	0.65	170.59	3420334.53	695888.92	10.88
1/11/2002	0.69	171.78	3427726.28	694252.04	11.08
1/12/2002	0.35	172.37	3435134.00	692619.00	11.29
1/1/2003	2.48	176.58	3480029.33	767268.33	11.50
1/2/2003	0.77	177.93	3491238.39	756754.39	11.22
1/3/2003	0.57	178.93	3502483.55	746384.52	10.96
1/4/2003	0.97	180.67	3513764.93	736156.75	10.69
1/5/2003	0.17	180.99	3525082.65	726069.13	10.44
1/6/2003	-0.21	180.62	3536436.83	716119.74	10.19
1/7/2003	0.03	180.68	3547827.57	706306.69	9.94
1/8/2003	0.06	180.79	3559255.00	696628.11	9.71
1/9/2003	0.08	182.22	3570719.25	687082.16	9.47
1/10/2003	0.01	182.22	3582220.41	677667.01	9.25
1/11/2003	0.33	182.83	3593758.62	668380.88	9.03
1/12/2003	-0.04	182.76	3605334.00	659222.00	8.81
1/1/2004	0.41	183.47	3697137.00	731951.00	8.60
1/2/2004	0.69	184.73	3713092.75	733899.26	8.54
1/3/2004	0.70	186.02	3729117.36	735852.70	8.48
1/4/2004	0.65	187.24	3745211.12	737811.34	8.42
1/5/2004	-0.48	186.35	3761374.34	739775.20	8.36
1/6/2004	-0.31	185.77	3777607.32	741744.28	8.30
1/7/2004	-0.62	184.63	3793910.35	743718.61	8.24
1/8/2004	0.00	184.68	3810283.75	745698.18	8.18
1/9/2004	0.23	185.10	3826727.80	747683.03	8.13
1/10/2004	0.28	185.62	3843242.82	749673.16	8.07
1/11/2004	0.41	186.40	3859829.12	751668.59	8.01
1/12/2004	-0.05	186.28	3876487.00	753669.33	7.96
1/1/2005	0.25	186.78	3923938.00	806781.00	7.90
1/2/2005	0.27	187.29	3935210.44	806361.52	7.90
1/3/2005	0.26	187.78	3946515.26	805942.25	7.89
1/4/2005	0.84	189.35	3957852.56	805523.21	7.88
1/5/2005	0.18	189.68	3969222.43	805104.38	7.87
1/6/2005	0.07	189.82	3980624.96	804685.77	7.87
1/7/2005	-0.02	189.52	3992060.25	804267.37	7.86
1/8/2005	0.15	189.25	4003528.39	803849.20	7.85
1/9/2005	0.72	190.60	4015029.47	803431.24	7.84
1/10/2005	0.35	191.27	4026563.59	803013.50	7.83
1/11/2005	0.17	191.59	4038130.85	802595.97	7.82
1/12/2005	0.30	192.16	4049731.33	802178.67	7.82
1/1/2006	0.48	193.08	4092705.33	861353.67	7.80
1/2/2006	0.71	194.45	4102240.72	859181.89	7.72
1/3/2006	0.65	195.72	4111798.31	857015.58	7.64
1/4/2006	0.07	195.85	4121378.18	854854.74	7.56
1/5/2006	-0.14	195.59	4130980.37	852699.35	7.48
1/6/2006	-0.23	195.14	4140604.92	850549.39	7.41
1/7/2006	0.03	195.20	4150251.90	848404.85	7.33
1/8/2006	0.21	195.61	4159921.36	846265.72	7.26
1/9/2006	0.57	196.73	4169613.35	844131.99	7.18
1/10/2006	0.35	197.42	4179327.91	842003.63	7.11
1/11/2006	0.17	197.74	4189065.11	839880.64	7.03
1/12/2006	-0.03	197.68	4198825.00	837763.00	6.96
1/1/2007	0.30	198.26	4182895.00	907748.33	6.89
1/2/2007	0.07	198.40	4196241.68	905546.96	7.01
1/3/2007	0.10	198.59	4209630.95	903350.92	7.13
